DOID,Gene
DOID:3498,1
DOID:1184,1
DOID:3908,1
DOID:7148,1
DOID:10652,2
DOID:2377,2
DOID:10283,2
DOID:2913,2
DOID:649,2
DOID:0080937,2
DOID:7148,2
DOID:9261,2
DOID:1883,2
DOID:11394,2
DOID:14330,2
DOID:9352,2
DOID:4481,2
DOID:1612,2
DOID:0050905,2
DOID:2841,2
DOID:6713,2
DOID:1793,2
DOID:9351,2
DOID:1040,2
DOID:1307,2
DOID:10591,2
DOID:2945,2
DOID:0080600,2
DOID:10871,2
DOID:13207,2
DOID:2841,9
DOID:1240,9
DOID:2596,9
DOID:10283,9
DOID:0050861,9
DOID:14330,9
DOID:10534,9
DOID:162,9
DOID:1612,9
DOID:8893,9
DOID:9074,9
DOID:9296,9
DOID:674,9
DOID:3571,9
DOID:0080016,9
DOID:9256,9
DOID:0060060,9
DOID:11054,9
DOID:4947,9
DOID:1793,9
DOID:4404,9
DOID:11934,9
DOID:0080199,9
DOID:1614,9
DOID:0050860,9
DOID:7147,9
DOID:0060058,9
DOID:1749,9
DOID:657,9
DOID:9952,9
DOID:0080144,9
DOID:3388,10
DOID:1612,10
DOID:2044,10
DOID:162,10
DOID:2596,10
DOID:7148,10
DOID:10283,10
DOID:9074,10
DOID:4362,10
DOID:14330,10
DOID:10534,10
DOID:83,10
DOID:5041,10
DOID:3083,10
DOID:3310,10
DOID:657,10
DOID:289,10
DOID:0080199,10
DOID:9256,10
DOID:3571,10
DOID:1324,10
DOID:4947,10
DOID:8778,10
DOID:0060892,10
DOID:10591,10
DOID:2876,10
DOID:11054,10
DOID:9351,10
DOID:3042,10
DOID:3121,10
DOID:0060060,10
DOID:11934,10
DOID:11836,10
DOID:399,10
DOID:1793,10
DOID:1307,10
DOID:3459,10
DOID:9296,10
DOID:12603,10
DOID:2394,10
DOID:1790,10
DOID:1781,10
DOID:8893,10
DOID:0080811,10
DOID:9415,10
DOID:1749,10
DOID:4404,10
DOID:2957,10
DOID:1936,10
DOID:0050589,10
DOID:14018,10
DOID:10783,10
DOID:9352,10
DOID:8692,10
DOID:4467,10
DOID:9119,10
DOID:678,10
DOID:3908,10
DOID:305,10
DOID:0050860,10
DOID:2841,10
DOID:10763,10
DOID:12336,10
DOID:11044,10
DOID:8577,10
DOID:7147,10
DOID:10762,10
DOID:0060058,10
DOID:9952,10
DOID:674,10
DOID:3717,10
DOID:3393,10
DOID:11716,10
DOID:9471,10
DOID:1993,10
DOID:5419,10
DOID:5223,10
DOID:8440,10
DOID:1240,10
DOID:1682,10
DOID:635,10
DOID:10652,10
DOID:8552,10
DOID:401,10
DOID:684,10
DOID:3146,10
DOID:6713,12
DOID:10652,12
DOID:14330,12
DOID:0060894,12
DOID:1307,12
DOID:9408,12
DOID:0080832,12
DOID:10286,12
DOID:5419,12
DOID:2316,12
DOID:5082,12
DOID:1909,12
DOID:10283,12
DOID:1380,12
DOID:3908,12
DOID:850,12
DOID:8923,12
DOID:0080199,12
DOID:219,12
DOID:5844,12
DOID:8893,12
DOID:3068,12
DOID:1612,12
DOID:0080162,12
DOID:162,12
DOID:557,12
DOID:1324,12
DOID:0050589,12
DOID:326,12
DOID:934,13
DOID:11119,13
DOID:399,13
DOID:2394,13
DOID:10534,13
DOID:1612,14
DOID:3908,14
DOID:90,14
DOID:0060250,15
DOID:1470,15
DOID:4947,15
DOID:10283,15
DOID:9074,15
DOID:10976,15
DOID:10595,16
DOID:0050700,16
DOID:0110177,16
DOID:870,16
DOID:936,16
DOID:0111866,16
DOID:12849,18
DOID:162,18
DOID:10652,18
DOID:1826,18
DOID:90,18
DOID:1936,19
DOID:3393,19
DOID:1388,19
DOID:10652,19
DOID:14504,19
DOID:0070113,19
DOID:5844,19
DOID:9352,19
DOID:0070482,19
DOID:9351,19
DOID:0080957,19
DOID:9970,19
DOID:6713,19
DOID:114,19
DOID:10763,19
DOID:225,19
DOID:1307,19
DOID:2723,19
DOID:1612,19
DOID:327,19
DOID:13042,19
DOID:0060224,19
DOID:1184,19
DOID:1289,19
DOID:8778,19
DOID:13810,19
DOID:10283,19
DOID:10871,19
DOID:0080217,19
DOID:5419,19
DOID:11612,19
DOID:11263,19
DOID:14692,19
DOID:162,19
DOID:12365,19
